Participants,Stimulus 1 (X),Stimulus 1 (Y),Stimulus 2 (X),Stimulus 2 (Y),Stimulus 3 (X),Stimulus 3 (Y),Stimulus 4 (X),Stimulus 4 (Y),Stimulus 5 (X),Stimulus 5 (Y),Stimulus 6 (X),Stimulus 6 (Y),Stimulus 7 (X),Stimulus 7 (Y),Stimulus 8 (X),Stimulus 8 (Y),Stimulus 9 (X),Stimulus 9 (Y),Stimulus 10 (X),Stimulus 10 (Y),Stimulus 11 (X),Stimulus 11 (Y),Stimulus 12 (X),Stimulus 12 (Y),Stimulus 13 (X),Stimulus 13 (Y),Stimulus 14 (X),Stimulus 14 (Y),Stimulus 15 (X),Stimulus 15 (Y),Stimulus 16 (X),Stimulus 16 (Y),Stimulus 17 (X),Stimulus 17 (Y),Stimulus 18 (X),Stimulus 18 (Y),Stimulus 19 (X),Stimulus 19 (Y),Stimulus 20 (X),Stimulus 20 (Y),Stimulus 21 (X),Stimulus 21 (Y),Stimulus 22 (X),Stimulus 22 (Y),Stimulus 23 (X),Stimulus 23 (Y),Stimulus 24 (X),Stimulus 24 (Y),Stimulus 25 (X),Stimulus 25 (Y),Stimulus 26 (X),Stimulus 26 (Y),Stimulus 27 (X),Stimulus 27 (Y)
Participant 1,-0.75,0.25,-0.75,0.25,-0.75,0.5,-0.75,-0.25,-0.75,-0.25,-0.74,0.48,-0.5,0.25,-0.74,0.4,-0.75,0.5,-0.75,-0.25,-0.75,0.4,-0.75,-0.37,-0.75,-0.25,-0.75,0.3,-0.75,0.5,-0.75,0.25,-0.75,0.43,-0.7,0.5,-0.75,-0.29,-0.75,0.25,-0.75,0.3,-0.75,-0.15,-0.75,-0.28,-0.75,0.5,-0.75,-0.25,-0.75,0.4,-0.75,0.43
Participant 2,0,-0.1,-0.13,-0.13,-0.1,0.9,0,0.1,0,0.48,-0.3,0.3,0,0.08,-0.25,-0.07,-0.05,0.78,-0.92,0.22,0.11,0.11,-0.5,0.13,-0.03,0.2,-0.13,0.37,-0.08,0.75,0.02,0.1,0,0.35,0,-0.75,0,-0.25,-0.89,0.03,0,0.74,0,0.05,-0.1,0.73,0,0.65,-0.63,0.13,0,0.25,0,0.75
Participant 3,-0.22,-0.13,-0.03,0.17,-0.81,0.63,-0.58,0.17,-0.55,0.15,-0.68,0.34,-0.68,0.13,-0.64,0.33,-0.18,0.34,-0.02,0.01,-0.18,0.68,-0.68,0.8,-0.35,0.15,-0.3,0.55,-0.19,0.45,-0.25,-0.07,-0.75,-0.18,-0.55,0.82,-0.16,-0.25,-0.08,0.32,-0.05,0.23,-0.5,-0.08,-0.65,0.14,-0.63,0.32,-0.7,-0.1,-0.04,0.51,-0.19,0.05
Participant 4,0,-0.75,-0.5,-0.5,-0.25,0,-0.75,-0.75,-0.26,0.26,-0.5,0.5,-0.5,-0.5,0,0,-0.75,0.25,-0.76,-0.74,-0.92,0,-0.9,0,0,0.3,-0.02,0.28,-0.75,0.25,0,0,-0.76,0,-0.77,0,0.25,-0.95,-0.5,-0.5,-0.75,0,0,0.25,-0.5,0.25,-0.92,0,-0.25,-0.88,-0.03,0.03,-0.75,0
Participant 5,-0.1,0.55,-0.75,0.25,-0.75,0.8,-0.72,0.67,-0.82,0.65,-0.82,0.75,-0.75,0.25,-0.75,0.13,-0.7,0.55,-0.73,0.3,-0.83,0.55,-0.8,0.8,-0.82,0.3,-0.75,0.57,-0.76,0.5,-0.3,0.5,-0.7,-0.07,-0.1,0.67,-0.42,0.15,-0.6,0.2,-0.68,0.35,-0.75,0.35,-0.5,0.7,-0.68,0.44,-0.37,0.18,-0.52,0.37,-0.65,0.5
Participant 6,-0.45,0.25,-0.3,0.38,-0.76,0.34,-0.55,0.1,-0.45,0.1,-0.5,0.2,-0.22,0.22,-0.58,0.27,-0.55,0.63,-0.53,0.14,-0.68,0.35,-0.58,0.7,-0.7,0.59,-0.65,0.26,-0.45,0.2,-0.35,0.1,-0.32,0.07,-0.73,0.6,-0.3,0.15,-0.74,0.28,-0.56,0.3,-0.56,0.05,-0.3,0.53,-0.56,0.32,-0.23,0.31,-0.45,0.05,-0.5,0.05
Participant 7,-0.95,0.63,-0.8,-0.1,-0.59,0.82,-0.52,0,-0.85,0.55,-0.2,0.55,0.09,0.5,0.05,0.8,-0.5,0.85,-0.07,0.07,-0.9,0.07,-0.45,0.15,-0.4,0.85,-0.93,0.12,-0.76,0.76,-0.25,-0.05,-0.15,0.8,-0.05,0.2,-0.5,0,-0.07,0.32,-0.92,0.4,0,0.5,-0.32,0.1,-0.52,0.72,-0.52,-0.07,-0.11,0.13,-0.05,0.72
Participant 8,-0.12,-0.05,-0.92,-0.95,-0.7,0.7,-0.93,0.07,-0.3,0.3,-0.7,0.7,0.06,-0.06,-0.84,-0.1,-0.93,-0.07,-0.18,0.3,-0.43,0.41,-0.92,0.05,-0.71,-0.71,-0.29,0.29,-0.92,0.92,-0.43,-0.45,-0.23,0.2,-0.76,-0.76,0,-0.17,-0.2,0.2,-0.43,0.43,0.05,-0.18,-0.75,-0.3,-0.9,0.23,-0.1,-0.23,-0.17,0.72,-0.93,0.1
Participant 9,0.11,-0.25,-0.75,-0.75,-1,-1,-0.25,0.25,-0.75,-0.75,-0.5,-0.5,-0.92,0.01,-0.25,0.75,-0.5,0.5,-0.82,0.07,-0.75,0.75,-0.5,0.5,-0.75,0.25,-0.25,-0.25,-0.75,0.75,-0.25,0.25,-0.5,0.75,-0.75,0.75,-0.74,0.75,-0.75,0,-0.25,0.75,-0.25,-0.25,-0.75,-0.75,-1,1,-0.82,0,-0.25,0.5,-0.5,0.26
Participant 10,0.18,-0.05,-0.95,0.25,-1,0.5,0.1,0.2,-0.78,0.73,-0.83,0.35,0.48,-0.74,-0.95,-0.13,-1,0.7,-0.38,-0.05,-0.92,0.75,-0.75,0.4,-0.04,0.79,-0.7,0.64,-1,1,-0.43,-0.07,-0.5,0.92,-0.95,-0.05,0.5,-0.38,-0.14,0.17,-0.64,0.5,-0.13,0.42,-0.5,0.25,-0.95,0.23,0.45,-0.73,-0.1,0.18,-0.99,0.75
