Stimuli,Filename,Control_Condition,Noise_Type,Noise_Level
Stimuli_1,ANC_LMS_Moto_SPL_55dB,Traditional Algorithm,Moto,55
Stimuli_2,ANC_LMS_Moto_SPL_65dB,Traditional Algorithm,Moto,65
Stimuli_3,ANC_LMS_Moto_SPL_72dB,Traditional Algorithm,Moto,72
Stimuli_4,ANC_LMS_Street_SPL_55dB,Traditional Algorithm,Street,55
Stimuli_5,ANC_LMS_Street_SPL_65dB,Traditional Algorithm,Street,65
Stimuli_6,ANC_LMS_Street_SPL_72dB,Traditional Algorithm,Street,72
Stimuli_7,ANC_LMS_Train_SPL_55dB,Traditional Algorithm,Train,55
Stimuli_8,ANC_LMS_Train_SPL_65dB,Traditional Algorithm,Train,65
Stimuli_9,ANC_LMS_Train_SPL_72dB,Traditional Algorithm,Train,72
Stimuli_10,ANC_OFF_Moto_SPL_55dB,No Control,Moto,55
Stimuli_11,ANC_OFF_Moto_SPL_65dB,No Control,Moto,65
Stimuli_12,ANC_OFF_Moto_SPL_72dB,No Control,Moto,72
Stimuli_13,ANC_OFF_Street_SPL_55dB,No Control,Street,55
Stimuli_14,ANC_OFF_Street_SPL_65dB,No Control,Street,65
Stimuli_15,ANC_OFF_Street_SPL_72dB,No Control,Street,72
Stimuli_16,ANC_OFF_Train_SPL_55dB,No Control,Train,55
Stimuli_17,ANC_OFF_Train_SPL_65dB,No Control,Train,65
Stimuli_18,ANC_OFF_Train_SPL_72dB,No Control,Train,72
Stimuli_19,ANC_SFANC_NLMS_Moto_SPL_55dB,New Algorithm,Moto,55
Stimuli_20,ANC_SFANC_NLMS_Moto_SPL_65dB,New Algorithm,Moto,65
Stimuli_21,ANC_SFANC_NLMS_Moto_SPL_72dB,New Algorithm,Moto,72
Stimuli_22,ANC_SFANC_NLMS_Street_SPL_55dB,New Algorithm,Street,55
Stimuli_23,ANC_SFANC_NLMS_Street_SPL_65dB,New Algorithm,Street,65
Stimuli_24,ANC_SFANC_NLMS_Street_SPL_72dB,New Algorithm,Street,72
Stimuli_25,ANC_SFANC_NLMS_Train_SPL_55dB,New Algorithm,Train,55
Stimuli_26,ANC_SFANC_NLMS_Train_SPL_65dB,New Algorithm,Train,65
Stimuli_27,ANC_SFANC_NLMS_Train_SPL_72dB,New Algorithm,Train,72
