Participants,Stimulus 1,Stimulus 2,Stimulus 3,Stimulus 4,Stimulus 5,Stimulus 6,Stimulus 7,Stimulus 8,Stimulus 9,Stimulus 10 ,Stimulus 11,Stimulus 12,Stimulus 13,Stimulus 14,Stimulus 15,Stimulus 16,Stimulus 17,Stimulus 18,Stimulus 19,Stimulus 20,Stimulus 21,Stimulus 22,Stimulus 23,Stimulus 24,Stimulus 25,Stimulus 26,Stimulus 27
Participant 1,25,25,50,25,25,50,25,35,50,25,40,30,25,30,50,25,40,50,25,25,30,15,25,50,25,40,40
Participant 2,10,45,65,25,45,55,35,45,75,30,52,55,55,35,65,10,48,75,25,35,70,15,38,48,28,45,68
Participant 3,20,25,70,30,35,35,20,45,50,20,48,50,30,40,60,20,30,70,15,35,30,30,25,40,20,30,35
Participant 4,20,40,45,45,55,95,40,45,95,30,50,50,50,65,85,40,70,85,25,45,50,45,60,70,30,50,85
Participant 5,20,45,80,30,65,65,45,55,75,10,65,95,45,50,85,45,55,85,30,20,55,35,45,80,20,70,45
Participant 6,45,40,55,45,50,45,35,50,60,45,55,60,50,50,50,35,45,60,35,45,50,40,45,50,35,45,50
Participant 7,40,95,90,20,70,38,30,87,85,25,90,97,50,70,95,25,80,80,30,55,85,18,65,55,30,65,75
Participant 8,4,90,70,40,38,45,20,65,70,14,30,50,70,25,95,50,27,67,8,36,35,15,30,42,22,54,75
Participant 9,30,80,95,60,75,65,80,85,90,90,90,75,80,50,85,70,75,95,85,70,85,50,70,90,85,80,65
Participant 10,70,55,38,68,60,58,78,55,25,62,35,40,58,70,10,55,60,45,80,60,43,60,63,30,79,68,30
Participant 11,67,70,75,76,63,67,68,67,72,65,72,75,60,73,72,65,65,70,62,65,67,62,63,65,65,63,68
Participant 12,20,50,70,50,60,60,30,60,80,20,70,90,50,60,80,30,70,90,10,40,30,20,40,70,20,50,60
Participant 13,60,62,75,60,65,68,60,70,75,62,62,65,65,68,70,65,68,70,55,62,65,55,60,65,55,68,68
Participant 14,20,40,30,30,60,50,20,60,90,40,70,70,70,50,80,20,60,80,10,30,40,10,30,40,10,40,70
Participant 15,50,60,76,45,70,78,68,70,73,40,70,70,65,65,72,40,82,73,65,56,67,50,60,70,55,58,70
Participant 16,35,40,45,40,45,40,40,48,55,38,38,55,45,42,55,30,45,55,30,40,38,35,38,48,35,40,45
Participant 17,15,30,45,15,35,40,25,30,35,20,30,40,30,25,40,20,45,55,20,20,20,20,35,40,30,45,45
Participant 18,70,75,96,55,85,95,60,85,97,65,90,96,90,92,90,50,95,90,30,60,98,50,60,98,45,70,98
Participant 19,20,40,45,45,35,45,40,55,65,30,35,65,30,55,90,55,55,80,20,20,35,40,25,45,50,40,90
Participant 20,20,30,32,25,20,31,22,27,36,22,26,37,25,30,38,20,27,35,15,24,24,23,23,30,20,30,32
Participant 21,25,55,35,25,45,65,30,60,90,15,55,65,30,55,85,35,60,80,10,25,40,35,35,75,20,35,80
Participant 22,5,12,17,6,14,10,10,12,30,8,17,20,13,12,16,18,25,16,8,7,18,10,10,11,6,13,14
Participant 23,25,35,80,25,40,70,30,70,80,40,40,85,50,65,80,20,70,90,25,50,40,30,40,50,10,35,55
Participant 24,85,95,90,85,83,98,88,90,95,83,95,93,90,90,95,85,95,90,75,85,88,85,88,98,80,80,93
Participant 25,10,20,30,12,30,35,18,25,40,10,20,25,30,28,45,12,30,35,20,15,28,20,25,35,10,20,25
Participant 26,17,15,48,25,30,27,12,32,70,10,30,50,40,27,74,11,30,63,9,30,10,12,27,35,15,27,31
Participant 27,20,30,35,35,18,55,20,48,40,18,28,48,35,38,60,18,32,48,15,20,48,20,25,55,20,25,40
Participant 28,60,95,100,50,70,95,50,70,95,70,95,100,70,90,15,50,80,95,50,60,95,50,65,95,50,80,95
Participant 29,40,45,60,40,45,45,35,45,55,40,45,50,45,50,60,30,50,60,30,45,50,40,40,50,30,50,55
Participant 30,22,28,38,33,33,35,28,34,33,24,35,35,30,30,38,33,38,45,22,28,30,24,24,35,24,30,33
Participant 31,50,50,30,55,65,70,55,55,70,50,65,70,55,60,65,55,60,65,40,45,65,40,50,65,45,60,65
Participant 32,50,60,75,40,50,70,30,60,70,50,50,70,60,60,80,40,60,60,40,50,50,30,50,70,50,30,70
Participant 33,25,35,45,25,40,45,30,40,50,20,35,50,35,45,60,25,50,50,20,40,40,30,40,50,25,40,45
Participant 34,25,45,60,35,30,40,20,30,65,21,55,55,27,45,55,30,30,65,20,30,60,30,25,30,20,30,60
Participant 35,45,40,45,35,40,45,35,50,45,45,50,55,40,45,50,40,50,50,35,45,45,35,40,45,35,40,40
